Hour,Load (kW)
1133,4826.040148179749
1134,4834.64213695125
1135,4873.220400780254
1136,4914.756609318505
1137,4863.335418277997
1138,4857.779100639496
1139,4862.854097355998
1140,4873.532598329251
1141,4884.573764337503
1142,4892.3167628257515
1143,4889.462866412749
1144,4888.914850731755
1145,4895.598016569
1146,4892.367076966249
1147,4966.032116668746
1148,4986.737867899499
1149,4994.596107070751
1150,4982.484197404499
1151,4936.019473270747
1152,4922.390157840996
1153,4905.246603859499
1154,4885.181468695255
1155,4888.206952116759
1156,4896.285763166501
1157,4910.416262488747
1158,4922.524613835993
1159,4940.237199046247
1160,4990.533770792756
1161,4923.714562350244
1162,4929.682496655999
1163,4931.668274173749
1164,4944.208857356244
1165,4949.9691805529965
1166,4949.4604025795
1167,4951.865888930756
1168,4955.076785351001
1169,4961.23082594975
1170,4955.577449760995
1171,5026.573416381504
1172,5038.9645853864995
1173,5038.419165037
1174,5027.430497464752
1175,4989.570704128002
1176,4978.763793747752
1177,4969.172203757996
1178,5050.014494840496
1179,5055.2306644715
1180,5064.729094968254
1181,5083.904072772501
1182,5124.623267027998
1183,5220.816652779496
1184,5323.955994989747
1185,5339.793528492746
1186,5389.1267973705
1187,5417.792244839251
1188,5404.65957927125
1189,5399.832135343755
1190,5349.6157037615
1191,5320.862400633246
1192,5289.142495905751
1193,5238.832962210499
1194,5199.647671639003
1195,5250.340249697748
1196,5227.063807782247
1197,5213.6169950602525
1198,5204.79760885575
1199,5157.619189492751
1200,5142.184432987751
1201,5144.286371268744
1202,5148.522924255498
1203,5154.2031613205
1204,5160.843409208252
1205,5180.9100957810015
1206,5223.406571522248
1207,5321.904255760752
1208,5419.205689724258
1209,5434.747684758999
1210,5479.860143114498
1211,5509.487979632997
1212,5500.026135838744
1213,5497.100580414002
1214,5454.894801562505
1215,5438.303561425746
1216,5425.958339174751
1217,5368.64591254025
1218,5323.117564054755
1219,5359.102033093994
1220,5324.753083271752
1221,5305.671303507
1222,5298.495533657002
1223,5251.106423772747
1224,5241.828768825504
1225,5243.864390455751
1226,5250.654367012495
1227,5256.821204632499
1228,5267.593811083499
1229,5287.588902776753
1230,5327.239939630997
1231,5428.0834554337525
1232,5530.442289204748
1233,5546.508598583246
1234,5607.435588338001
1235,5648.278031586746
1236,5644.102034317993
1237,5641.176379378997
1238,5596.493906957493
1239,5578.4611496702455
1240,5548.710220418005
1241,5488.852229348252
1242,5440.652142186007
1243,5476.597998010749
1244,5431.934854512253
1245,5410.740474213501
1246,5397.393287653248
1247,5351.044762389502
1248,5334.235476386003
1249,5335.708195138752
1250,5342.219508836748
1251,5351.242310878743
1252,5359.832220664998
1253,5379.258971976753
1254,5420.065396348245
1255,5516.812773032501
1256,5612.598979631999
1257,5633.120093153003
1258,5689.623106247499
1259,5727.209539074992
1260,5728.792848050493
1261,5733.696122230501
1262,5699.235315898246
1263,5679.818035291754
1264,5657.471747615496
1265,5606.991461615249
1266,5554.664860050503
1267,5556.215055241755
1268,5531.8648953835045
1269,5505.058519012752
1270,5493.364406641751
1271,5444.373728988247
1272,5428.97825953325
1273,5429.468148364249
1274,5433.187234822002
1275,5438.584672464749
1276,5448.9022749049955
1277,5468.522153183244
1278,5503.510466201499
1279,5604.693755164496
1280,5695.158443531749
1281,5719.2710110855
1282,5772.697381189249
1283,5822.89761815525
1284,5830.354389169746
1285,5843.4040860272535
1286,5804.992146430996
1287,5776.952811316749
1288,5736.353760220748
1289,5671.0161308185025
1290,5620.884812855751
1291,5629.211987187002
1292,5612.603283481507
1293,5591.1271220705
1294,5581.193517608754
1295,5538.994523984501
1296,5523.479421564005
1297,5535.397043763495
1298,5472.27884320275
1299,5467.184921956002
1300,5474.834333828503
1301,5487.886212163998
1302,5495.072775601001
1303,5540.914844715755
1304,5573.431900454999
1305,5534.662054524499
1306,5526.240355383746
1307,5532.348601740495
1308,5554.2230834095035
1309,5578.137059548752
1310,5596.547473744998
1311,5600.375850660496
1312,5595.345339034747
1313,5593.74762493425
1314,5585.432159780499
1315,5624.616894752995
1316,5663.163174354753
1317,5664.397350391002
1318,5647.407815354748
1319,5598.752439456499
